customer_id,signup_date,gender,age_group,city,membership_tier,preferred_channel,email_subscribed
CUST-20136,2021-10-11,Male,18-24,Sydney,Silver,Online,1
CUST-20137,2021-12-08,Female,25-34,Perth,Silver,Online,0
CUST-20138,2021-06-15,Female,65+,Toronto,Silver,In-Store,1
CUST-20139,2022-07-19,Male,65+,London,Bronze,In-Store,1
CUST-20140,2022-07-29,Male,18-24,Melbourne,Silver,Online,1
CUST-20141,2021-03-19,Female,65+,Brisbane,Bronze,Online,1
CUST-20142,2022-07-13,Male,18-24,Auckland,Gold,Online,0
CUST-20143,2022-08-20,Female,55-64,Brisbane,Bronze,In-Store,0
CUST-20144,2022-03-17,Female,25-34,Sydney,Bronze,Online,1
CUST-20145,2021-11-12,Other,35-44,Sydney,Silver,Online,1
CUST-20146,2022-01-02,Male,25-34,Adelaide,Silver,Online,1
CUST-20147,2022-11-14,Male,18-24,Auckland,Bronze,Online,1
CUST-20148,2022-07-28,Male,45-54,Singapore,Bronze,In-Store,1
CUST-20149,2021-06-08,Male,25-34,Brisbane,Silver,Online,1
CUST-20150,2021-07-01,Male,45-54,Sydney,Bronze,Online,1
CUST-20151,2021-07-03,Male,65+,Auckland,Bronze,Online,1
CUST-20152,2022-02-26,Female,65+,Adelaide,Silver,Online,0
CUST-20153,2021-10-01,Male,25-34,Melbourne,Silver,In-Store,0
CUST-20154,2022-01-27,Male,18-24,Toronto,Bronze,In-Store,0
CUST-20155,2021-08-16,Male,25-34,Toronto,Bronze,Online,1
CUST-20156,2021-12-25,Male,35-44,Adelaide,Silver,Online,0
CUST-20157,2021-08-17,Male,18-24,Adelaide,Bronze,In-Store,0
CUST-20158,2022-02-13,Female,35-44,Perth,Silver,Online,1
CUST-20159,2021-03-13,Male,35-44,Auckland,Silver,Online,1
CUST-20160,2022-10-19,Male,55-64,London,Bronze,Online,1
CUST-20161,2022-11-27,Female,55-64,Auckland,Bronze,In-Store,1
CUST-20162,2021-01-29,Female,18-24,Perth,Gold,Online,1
CUST-20163,2021-07-02,Female,55-64,Perth,Silver,Online,1
CUST-20164,2021-02-09,Male,18-24,Singapore,Bronze,In-Store,1
CUST-20165,2022-03-21,Other,35-44,Auckland,Bronze,In-Store,1
CUST-20166,2022-03-23,Male,55-64,New York,Bronze,Online,1
CUST-20167,2021-04-29,Male,45-54,Singapore,Bronze,Online,0
CUST-20168,2021-07-14,Female,35-44,Sydney,Bronze,Online,0
CUST-20169,2022-12-27,Male,45-54,Sydney,Bronze,In-Store,0
CUST-20170,2022-06-17,Male,55-64,Adelaide,Gold,Online,1
CUST-20171,2022-01-08,Female,45-54,Melbourne,Platinum,In-Store,1
CUST-20172,2022-11-12,Male,35-44,Singapore,Gold,Online,1
CUST-20173,2021-11-18,Male,65+,Melbourne,Silver,Online,1
CUST-20174,2021-11-04,Female,55-64,Perth,Bronze,Online,1
CUST-20175,2022-11-14,Male,45-54,Auckland,Silver,Online,1
CUST-20176,2022-02-17,Other,65+,Perth,Bronze,Online,0
CUST-20177,2022-07-22,Female,25-34,Adelaide,Bronze,In-Store,1
CUST-20178,2022-03-07,Male,65+,London,Silver,Online,0
CUST-20179,2022-11-25,Other,65+,Brisbane,Gold,Online,0
CUST-20180,2022-09-23,Male,55-64,Perth,Platinum,Online,0
CUST-20181,2022-02-20,Female,55-64,Sydney,Silver,Online,0
CUST-20182,2021-11-08,Male,35-44,Adelaide,Bronze,Online,0
CUST-20183,2022-03-17,Female,55-64,Singapore,Silver,Online,0
CUST-20184,2022-11-02,Female,35-44,Toronto,Bronze,Online,1
CUST-20185,2022-03-29,Male,45-54,Adelaide,Silver,In-Store,1
CUST-20186,2022-06-08,Female,45-54,Brisbane,Bronze,Online,1
CUST-20187,2022-11-06,Female,18-24,Perth,Gold,Online,0
CUST-20188,2022-06-12,Male,65+,Singapore,Silver,Online,0
CUST-20189,2021-12-10,Female,18-24,Adelaide,Silver,In-Store,0
CUST-20190,2022-11-20,Male,35-44,Adelaide,Bronze,Online,0
CUST-20191,2021-07-23,Female,25-34,Sydney,Bronze,In-Store,0
CUST-20192,2021-02-17,Female,25-34,Toronto,Bronze,Online,0
CUST-20193,2022-09-18,Male,18-24,Toronto,Bronze,In-Store,1
CUST-20194,2022-03-01,Female,65+,Singapore,Bronze,In-Store,1
CUST-20195,2021-07-19,Female,65+,London,Silver,Online,1
CUST-20196,2022-05-22,Female,45-54,Adelaide,Bronze,In-Store,1
CUST-20197,2021-06-01,Female,65+,Sydney,Silver,Online,1
CUST-20198,2021-04-20,Female,45-54,Adelaide,Silver,Online,0
CUST-20199,2021-06-30,Female,65+,New York,Platinum,In-Store,0
CUST-20200,2022-04-21,Male,18-24,New York,Silver,In-Store,1
CUST-20201,2021-09-13,Female,18-24,Toronto,Bronze,In-Store,0
CUST-20202,2021-05-17,Male,45-54,New York,Silver,In-Store,0
CUST-20203,2022-07-27,Female,55-64,Auckland,Bronze,In-Store,1
CUST-20204,2022-03-30,Male,55-64,New York,Silver,Online,1
CUST-20205,2022-03-13,Male,55-64,Toronto,Gold,Online,1
CUST-20206,2021-06-12,Female,65+,Toronto,Silver,Online,1
CUST-20207,2022-04-06,Male,35-44,Adelaide,Silver,Online,1
CUST-20208,2022-10-15,Male,35-44,New York,Bronze,Online,1
CUST-20209,2022-05-12,Male,65+,Adelaide,Gold,In-Store,1
CUST-20210,2021-10-09,Female,45-54,Melbourne,Bronze,Online,0
CUST-20211,2023-01-01,Male,35-44,Adelaide,Bronze,Online,0
CUST-20212,2021-10-06,Female,35-44,Auckland,Silver,Online,0
CUST-20213,2022-07-08,Female,18-24,Brisbane,Bronze,Online,1
CUST-20214,2021-06-04,Male,25-34,London,Bronze,In-Store,1
CUST-20215,2022-12-12,Male,25-34,Adelaide,Gold,Online,1
CUST-20216,2021-03-07,Female,45-54,London,Bronze,Online,1
CUST-20217,2021-12-05,Female,55-64,Toronto,Gold,Online,1
CUST-20218,2022-03-02,Male,18-24,Adelaide,Silver,Online,1
CUST-20219,2022-03-07,Female,45-54,Singapore,Silver,Online,1
CUST-20220,2022-12-14,Female,18-24,Singapore,Bronze,Online,1
CUST-20221,2022-01-25,Male,45-54,Sydney,Gold,In-Store,1
CUST-20222,2021-12-27,Male,35-44,London,Bronze,In-Store,0
CUST-20223,2022-03-06,Male,55-64,New York,Gold,In-Store,1
CUST-20224,2022-09-10,Female,25-34,Toronto,Bronze,Online,1
CUST-20225,2021-08-13,Male,35-44,London,Bronze,Online,1
CUST-20226,2022-05-13,Female,18-24,London,Bronze,In-Store,1
CUST-20227,2021-12-11,Male,65+,London,Bronze,In-Store,1
CUST-20228,2021-06-19,Male,45-54,Brisbane,Silver,In-Store,1
CUST-20229,2022-09-30,Female,55-64,Sydney,Bronze,In-Store,1
CUST-20230,2022-02-08,Female,55-64,Singapore,Gold,In-Store,0
CUST-20231,2022-11-10,Male,18-24,Melbourne,Bronze,Online,1
CUST-20232,2022-10-21,Male,45-54,Brisbane,Silver,Online,0
CUST-20233,2022-04-18,Female,25-34,Sydney,Platinum,Online,1
CUST-20234,2021-09-24,Female,45-54,Auckland,Bronze,Online,1
CUST-20235,2021-08-05,Female,45-54,Auckland,Bronze,In-Store,0
CUST-20236,2021-12-12,Male,45-54,Perth,Bronze,Online,0
CUST-20237,2022-03-08,Female,35-44,Melbourne,Gold,In-Store,1
CUST-20238,2022-04-27,Female,18-24,New York,Bronze,Online,1
CUST-20239,2021-02-23,Male,35-44,Adelaide,Silver,Online,0
CUST-20240,2022-10-28,Female,18-24,Sydney,Bronze,Online,1
CUST-20241,2021-02-01,Male,25-34,Adelaide,Bronze,In-Store,1
CUST-20242,2021-01-21,Male,55-64,Brisbane,Silver,In-Store,0
CUST-20243,2021-09-02,Male,25-34,Toronto,Silver,Online,1
CUST-20244,2022-11-17,Male,18-24,Singapore,Silver,Online,1
CUST-20245,2021-08-12,Female,45-54,Perth,Bronze,Online,1
CUST-20246,2022-01-13,Female,25-34,Singapore,Silver,In-Store,1
CUST-20247,2022-09-14,Female,65+,Melbourne,Bronze,In-Store,1
CUST-20248,2021-06-17,Female,35-44,Melbourne,Bronze,Online,1
CUST-20249,2022-08-16,Male,18-24,Perth,Gold,In-Store,1
CUST-20250,2022-08-13,Female,65+,London,Bronze,In-Store,0
CUST-20251,2022-02-11,Female,65+,Adelaide,Gold,In-Store,0
CUST-20252,2021-03-19,Female,55-64,Adelaide,Bronze,Online,0
CUST-20253,2021-04-15,Male,65+,Perth,Platinum,In-Store,0
CUST-20254,2022-12-02,Female,55-64,Melbourne,Bronze,In-Store,1
CUST-20255,2022-08-03,Male,18-24,Auckland,Silver,In-Store,0
CUST-20256,2022-06-30,Male,45-54,Auckland,Platinum,In-Store,0
CUST-20257,2021-03-12,Female,55-64,Auckland,Bronze,Online,1
CUST-20258,2021-01-13,Male,45-54,Toronto,Bronze,Online,1
CUST-20259,2021-04-19,Female,45-54,Auckland,Bronze,Online,1
CUST-20260,2022-10-13,Female,45-54,Brisbane,Silver,Online,1
CUST-20261,2022-03-22,Female,25-34,New York,Gold,Online,1
CUST-20262,2022-10-29,Male,35-44,Singapore,Gold,In-Store,1
CUST-20263,2022-07-06,Female,45-54,Toronto,Platinum,In-Store,1
CUST-20264,2022-03-23,Male,65+,Singapore,Gold,Online,1
CUST-20265,2021-10-02,Other,35-44,Adelaide,Gold,In-Store,1
CUST-20266,2021-03-30,Female,35-44,Toronto,Bronze,Online,1
CUST-20267,2021-09-07,Male,45-54,Singapore,Bronze,Online,1
CUST-20268,2022-09-17,Male,65+,London,Bronze,In-Store,1
CUST-20269,2021-12-11,Female,18-24,Toronto,Bronze,Online,0
CUST-20270,2021-11-29,Male,25-34,Toronto,Gold,Online,0
CUST-20271,2021-08-06,Male,35-44,Perth,Platinum,In-Store,1
CUST-20272,2021-12-15,Male,35-44,Singapore,Platinum,In-Store,1
CUST-20273,2022-12-20,Female,35-44,New York,Silver,Online,1
CUST-20274,2021-01-11,Male,55-64,Adelaide,Bronze,In-Store,1
CUST-20275,2021-03-29,Other,25-34,London,Bronze,In-Store,0
CUST-20276,2022-05-16,Male,55-64,Adelaide,Platinum,Online,0
CUST-20277,2022-12-09,Male,45-54,Toronto,Silver,In-Store,1
CUST-20278,2022-04-04,Female,18-24,Melbourne,Bronze,In-Store,1
CUST-20279,2021-10-29,Female,25-34,London,Bronze,Online,1
CUST-20280,2022-12-10,Female,25-34,Perth,Gold,In-Store,0
CUST-20281,2022-11-11,Female,55-64,Auckland,Silver,Online,1
CUST-20282,2022-04-30,Male,55-64,New York,Bronze,In-Store,1
CUST-20283,2021-12-19,Male,45-54,New York,Bronze,In-Store,1
CUST-20284,2021-12-05,Female,35-44,Toronto,Gold,Online,1
CUST-20285,2021-10-05,Male,35-44,Perth,Gold,In-Store,1
CUST-20286,2021-08-25,Female,18-24,Adelaide,Bronze,In-Store,1
CUST-20287,2021-11-20,Female,18-24,New York,Gold,In-Store,0
CUST-20288,2022-12-08,Female,25-34,Adelaide,Silver,In-Store,0
CUST-20289,2021-08-10,Female,65+,Toronto,Bronze,In-Store,1
CUST-20290,2021-10-11,Male,65+,Singapore,Gold,Online,0
CUST-20291,2022-06-22,Female,55-64,Perth,Bronze,In-Store,1
CUST-20292,2021-04-13,Male,25-34,Perth,Bronze,In-Store,0
CUST-20293,2021-08-21,Male,35-44,Brisbane,Silver,In-Store,1
CUST-20294,2021-11-06,Male,18-24,New York,Gold,In-Store,1
CUST-20295,2021-05-10,Male,35-44,Sydney,Platinum,In-Store,0
CUST-20296,2021-02-25,Female,55-64,Perth,Bronze,In-Store,1
CUST-20297,2022-12-16,Female,25-34,Toronto,Bronze,Online,1
CUST-20298,2021-04-16,Female,18-24,Singapore,Bronze,Online,0
CUST-20299,2021-10-19,Other,45-54,Toronto,Platinum,In-Store,1
CUST-20300,2022-03-28,Male,35-44,Brisbane,Gold,Online,1
CUST-20301,2021-02-22,Female,35-44,Toronto,Silver,In-Store,1
CUST-20302,2021-04-27,Other,18-24,London,Bronze,Online,1
CUST-20303,2022-05-19,Female,18-24,Singapore,Bronze,In-Store,1
CUST-20304,2022-10-07,Female,65+,Sydney,Bronze,In-Store,1
CUST-20305,2021-06-05,Male,25-34,Singapore,Platinum,Online,0
CUST-20306,2021-11-08,Female,18-24,Adelaide,Bronze,Online,1
CUST-20307,2021-05-02,Male,55-64,London,Platinum,In-Store,1
CUST-20308,2022-09-13,Male,55-64,Singapore,Bronze,In-Store,1
CUST-20309,2021-08-20,Male,55-64,London,Gold,In-Store,1
CUST-20310,2022-04-07,Female,45-54,Perth,Gold,In-Store,0
CUST-20311,2022-08-26,Female,45-54,Perth,Gold,Online,1
CUST-20312,2022-08-06,Female,55-64,Sydney,Platinum,In-Store,1
CUST-20313,2022-09-17,Male,65+,Melbourne,Bronze,In-Store,1
CUST-20314,2021-08-01,Female,65+,Adelaide,Bronze,Online,1
CUST-20315,2021-09-28,Female,65+,Melbourne,Bronze,Online,1
CUST-20316,2021-06-10,Male,25-34,Brisbane,Bronze,Online,1
CUST-20317,2022-07-20,Male,18-24,Brisbane,Silver,In-Store,0
CUST-20318,2021-01-03,Male,45-54,Toronto,Gold,Online,1
CUST-20319,2022-12-07,Other,55-64,Toronto,Bronze,Online,1
CUST-20320,2021-10-26,Female,18-24,Adelaide,Silver,In-Store,1
CUST-20321,2021-10-23,Female,65+,Perth,Bronze,Online,1
CUST-20322,2022-12-21,Male,45-54,Melbourne,Bronze,Online,1
CUST-20323,2022-12-05,Female,25-34,Perth,Silver,In-Store,1
CUST-20324,2022-10-03,Male,55-64,Adelaide,Bronze,In-Store,1
CUST-20325,2022-03-12,Female,18-24,New York,Bronze,Online,1
CUST-20326,2021-08-19,Female,65+,Brisbane,Silver,In-Store,0
CUST-20327,2021-09-30,Female,25-34,Melbourne,Bronze,Online,0
CUST-20328,2021-03-03,Female,25-34,Perth,Silver,Online,1
CUST-20329,2022-09-02,Female,65+,Singapore,Silver,Online,1
CUST-20330,2021-10-23,Male,45-54,Melbourne,Bronze,In-Store,1
CUST-20331,2022-04-25,Male,65+,Perth,Platinum,Online,0
CUST-20332,2022-12-18,Female,45-54,Perth,Silver,In-Store,1
CUST-20333,2022-05-28,Other,55-64,Toronto,Bronze,In-Store,1
CUST-20334,2022-03-25,Female,18-24,Singapore,Bronze,Online,1
CUST-20335,2021-02-10,Male,45-54,Auckland,Bronze,In-Store,0
CUST-20336,2022-09-11,Male,35-44,Sydney,Silver,Online,1
CUST-20337,2021-04-04,Male,25-34,Singapore,Platinum,In-Store,1
CUST-20338,2022-08-25,Female,18-24,Perth,Bronze,Online,0
CUST-20339,2022-08-14,Male,18-24,Brisbane,Gold,Online,1
CUST-20340,2022-04-27,Male,55-64,Toronto,Gold,In-Store,1
CUST-20341,2021-10-12,Male,25-34,Singapore,Silver,In-Store,0
CUST-20342,2022-03-23,Male,65+,Toronto,Bronze,In-Store,1
CUST-20343,2021-04-04,Female,45-54,Auckland,Gold,Online,0
CUST-20344,2022-02-23,Female,35-44,Auckland,Bronze,Online,1
CUST-20345,2022-11-18,Male,18-24,Brisbane,Bronze,In-Store,1
CUST-20346,2021-12-04,Male,45-54,Toronto,Silver,In-Store,1
CUST-20347,2021-10-23,Male,65+,London,Platinum,Online,1
CUST-20348,2022-07-18,Female,18-24,Toronto,Bronze,Online,0
CUST-20349,2021-04-01,Male,35-44,Perth,Bronze,In-Store,1
CUST-20350,2021-11-28,Male,18-24,London,Bronze,Online,0
CUST-20351,2022-06-11,Male,18-24,New York,Silver,In-Store,0
CUST-20352,2022-04-19,Female,45-54,Sydney,Silver,Online,1
CUST-20353,2021-07-12,Male,55-64,Auckland,Bronze,Online,0
CUST-20354,2022-09-30,Male,45-54,Toronto,Bronze,Online,0
CUST-20355,2021-02-22,Female,25-34,Perth,Bronze,Online,1
CUST-20356,2022-07-17,Other,25-34,Perth,Platinum,Online,0
CUST-20357,2022-03-25,Female,65+,Toronto,Silver,Online,1
CUST-20358,2021-05-05,Female,18-24,Singapore,Silver,Online,1
CUST-20359,2021-09-03,Female,65+,Brisbane,Bronze,Online,1
CUST-20360,2021-11-15,Male,55-64,Sydney,Platinum,In-Store,1
CUST-20361,2022-07-20,Male,45-54,Melbourne,Gold,In-Store,0
CUST-20362,2021-08-19,Female,18-24,Toronto,Platinum,Online,1
CUST-20363,2021-05-01,Female,65+,Brisbane,Gold,Online,0
CUST-20364,2022-05-26,Female,65+,Perth,Silver,Online,1
CUST-20365,2022-06-06,Female,65+,Perth,Bronze,Online,1
CUST-20366,2022-03-02,Male,45-54,Toronto,Platinum,In-Store,1
CUST-20367,2021-09-07,Female,45-54,New York,Gold,In-Store,0
CUST-20368,2021-05-29,Male,45-54,Adelaide,Gold,Online,1
CUST-20369,2022-09-06,Female,55-64,Brisbane,Gold,In-Store,1
CUST-20370,2021-03-13,Male,35-44,London,Gold,Online,1
CUST-20371,2021-12-15,Male,55-64,Perth,Bronze,Online,1
CUST-20372,2021-01-03,Male,35-44,Perth,Bronze,Online,1
CUST-20373,2022-08-25,Male,55-64,Toronto,Bronze,In-Store,1
CUST-20374,2021-06-02,Male,45-54,New York,Silver,Online,0
CUST-20375,2022-05-11,Male,35-44,Auckland,Silver,Online,1
CUST-20376,2022-07-20,Male,55-64,London,Bronze,In-Store,1
CUST-20377,2022-04-12,Female,35-44,Adelaide,Silver,In-Store,1
CUST-20378,2022-12-16,Male,25-34,Singapore,Platinum,Online,1
CUST-20379,2022-01-28,Female,25-34,London,Silver,Online,0
CUST-20380,2021-02-14,Female,35-44,Toronto,Bronze,Online,1
CUST-20381,2022-12-24,Male,45-54,London,Silver,Online,1
CUST-20382,2022-11-11,Female,65+,Brisbane,Gold,Online,1
CUST-20383,2022-05-23,Male,18-24,Brisbane,Silver,Online,1
CUST-20384,2022-05-30,Female,55-64,Auckland,Bronze,Online,1
CUST-20385,2021-04-13,Male,45-54,Melbourne,Silver,In-Store,1
CUST-20386,2022-06-23,Female,45-54,Sydney,Platinum,In-Store,1
